PokemonNumber,PokemonName,Height,Feet,Inches,PokeType,Ability,Description,EvoNumber,FamilyNumber,Type1,Type2
136,Flareon,55.1,2,11,Flame,Flash Fire,"Flareon's fluffy fur has a functional purpose?it releases heat into the air so that its body does not get excessively hot. This Pok‚mon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",2,68,Fire,
137,Porygon,80.5,2,7,Virtual,Trace,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pok‚mon is copy protected so it cannot be duplicated by copying.,1,69,Normal,
138,Omanyte,16.5,1,4,Spiral,Shell Armor,"Omanyte is one of the ancient and long-since-extinct Pok‚mon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",1,70,Rock,Water
139,Omastar,77.2,3,3,Spiral,Shell Armor,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous. ",2,70,Rock,Water
140,Kabuto,25.4,1,8,Shellfish,Swift Swim,"Kabuto is a Pok‚mon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pok‚mon has not changed at all for 300 million years.",1,71,Rock,Water
141,Kabutops,89.3,4,3,Shellfish,Swift Swim,Kabutops swam underwater to hunt for its prey in ancient times. The Pok‚mon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,2,71,Rock,Water
142,Aerodactyl,130.1,5,11,Fossil,Rock Head,Aerodactyl is a Pok‚mon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,1,72,Rock,Flying
143,Snorlax,1014.1,6,11,Sleeping,Think Fat,Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pok‚mon that there are children who use its expansive belly as a place to play.,1,73,Normal,
144,Articuno,122.1,5,7,Freeze,Pressure,"Articuno is a legendary bird Pok‚mon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pok‚mon flies, snow will fall.",1,74,Ice,Flying
145,Zapdos,116,5,3,Electric,Pressure,Zapdos is a legendary bird Pok‚mon that has the ability to control electricity. It usually lives in thunderclouds. The Pok‚mon gains power if it is stricken by lightning bolts.,1,75,Electric,Flying
146,Moltres,132.3,6,7,Flame,Pressure,"Moltres is a legendary bird Pok‚mon that has the ability to control fire. If this Pok‚mon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",1,76,Fire,Flying
147,Dratini,7.3,5,11,Dragon,Shed Skin,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,1,77,Dragon,
148,Dragonair,36.4,13,1,Dragon,Shed Skin,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,2,77,Dragon,
149,Dragonite,463,7,3,Dragon,Inner Focus,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pok‚mon that leads lost and foundering ships in a storm to the safety of land.,3,77,Dragon,Flying
150,Mewtwo,269,6,7,Genetic,Pressure,"Mewtwo is a Pok‚mon that was created by genetic manipulation. However, even though the scientific power of humans created this Pok‚mon's body, they failed to endow Mewtwo with a compassionate heart.",1,78,Psychic,
151,Mew,8.8,1,4,New Species,Synchronize,"Mew is said to possess the genetic composition of all Pok‚mon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",1,79,Psychic,
